ward_code,Observation
E05005448,1044.6
E05005449,4115.8
E05005450,1228
E05005451,72.6
E05005452,2104
E05005453,89.4
E05005479,76.9
E05005480,187.5
E05005481,1075.2
E05005482,1795
E05005483,1135.9
E05005484,99.7
E05005485,1293.2
E05005486,819.3
E05005487,4230.3
E05005488,2345
E05005489,2034
E05005490,1643.5
E05005491,395.8
E05005492,202
E05005493,290.1
E05005494,55.6
E05005495,340.5
E05005496,136.5
E05005497,24
E05005498,38.4
E05005499,37.7
E05005500,69.9
E05005501,1083.6
E05005502,1104.8
E05005503,1155.9
E05005504,1088.2
E05005505,1504.3
E05005506,1391.5
E05005507,56
E05005508,40.2
